10407,0.0,0.0,0.0009,0.0574,0.0122,0.0,0.0638,0.0124,0.0,0.0255,0.019,0.0155,0.0602,0.0,0.0,0.0438,0.0,0.0,0.0881,0.0088,0.0,0.0,0.0084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081,0.0003,0.0728,0.0064,0.0,0.0655,0.0406,0.0429,0.0034,0.0215,0.0113,0.0355,0.0783,0.0,0.0173,0.0,0.0203,0.0298,0.0486,0.0141,0.0,0.0143,0.0,0.0,0.0269,0.0353,0.0,0.0,0.0802,0.0,0.01,0.0,0.0,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0409,0.0,0.0,0.0453,0.0,0.0,0.0301,0.0,0.0,1.0,0.0287,0.0,0.0,0.0099,0.0117,0.0192,0.0227,0.015,0.0243,0.0,0.0818,0.0701,0.0339,0.011000000000000001,0.0224,0.0,0.0029,0.0,0.0,0.0,0.0205,0.0152,0.0,0.0,0.0,0.0085,0.0321,0.0132,0.0047,0.0,0.0,0.0207,0.0,0.0169,0.0757,0.0765,0.0,0.069,0.0403,0.0,0.0,0.0059,0.0,0.0087,0.0,0.0,0.0288,0.0102,0.0,0.0077,0.0266,0.0033,0.0,0.0,0.006999999999999999,0.0
1913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0,0.0216,0.0,0.0,0.0,0.0,0.0,0.0031,0.0,0.0147,0.0,0.0055,0.0,0.0,0.0,0.0,0.0024,0.0,0.033,0.0,0.0,0.0062,0.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0343,0.0,0.0076,0.0501,0.0,0.0906,0.0,0.0035,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0072,0.0011,0.0,0.0,0.0214,0.0,0.0,0.0,0.0098,0.001,0.0279,0.0,0.0,0.0,0.0274,0.0,0.0118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072,0.0521,0.0249,0.0155,0.0,0.0151,0.0,0.0044,0.0287,1.0,0.0,0.0,0.0322,0.0303,0.0,0.0,0.0204,0.0,0.0,0.0345,0.0,0.0,0.0216,0.0,0.0,0.0,0.0,0.0,0.0,0.0711,0.0143,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.006,0.0,0.0,0.0216,0.0114,0.0677,0.0,0.0595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0215,0.0,0.0,0.0494,0.0,0.0051,0.0,0.0144,0.0128,0.0
7065,0.039,0.0943,0.031,0.0083,0.0,0.0175,0.0,0.0,0.0,0.0,0.0,0.0198,0.0435,0.0,0.0,0.0232,0.0,0.0359,0.02,0.0081,0.0,0.0,0.0035,0.0213,0.0,0.0099,0.0123,0.0,0.0027,0.0,0.0144,0.0,0.0,0.0,0.0121,0.0286,0.0147,0.0,0.0,0.0,0.0071,0.0021,0.0,0.0,0.0007,0.0,0.0,0.0076,0.0022,0.0213,0.0019,0.0,0.0,0.0,0.0448,0.0167,0.0168,0.0,0.0073,0.0,0.0,0.0,0.0096,0.0,0.0118,0.0,0.0016,0.0366,0.0,0.0198,0.0,0.1243,0.1339,0.0,0.0,0.0,0.0087,0.0,0.0349,0.0066,0.0003,0.0597,0.0113,0.0067,0.0296,0.0,0.0,1.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0684,0.0628,0.0035,0.0157,0.0,0.0,0.0744,0.0,0.0,0.0674,0.0,0.005,0.0235,0.0,0.0547,0.0,0.0,0.0,0.0533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0826,0.0,0.0,0.0,0.0,0.0,0.1626,0.0,0.0411,0.0,0.0,0.0261,0.0,0.0074,0.0,0.004,0.0507,0.0
3121,0.0091,0.0,0.0,0.0,0.0299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078,0.0253,0.0142,0.0,0.0403,0.0028,0.0,0.0,0.0,0.0,0.0,0.0356,0.0271,0.0343,0.0488,0.0,0.0153,0.0165,0.0223,0.0089,0.0138,0.0,0.0211,0.0,0.0,0.0012,0.0269,0.0,0.0051,0.0,0.0239,0.0032,0.0,0.0,0.0,0.0108,0.0,0.0,0.0,0.0025,0.0,0.0,0.0138,0.0,0.0,0.0,0.0666,0.0079,0.0211,0.0,0.0005,0.0087,0.0,0.0248,0.0169,0.0,0.0,0.0149,0.0485,0.0,0.0,0.0045,0.0,0.0081,0.0187,0.0,0.0,0.003,0.0,0.0,0.0,0.004,0.0221,0.0,0.0,0.0,1.0,0.0163,0.0,0.0,0.0,0.0266,0.0,0.0,0.0,0.0,0.0,0.0321,0.0,0.0188,0.0383,0.002,0.0,0.0103,0.0092,0.0098,0.0,0.0,0.0172,0.0,0.0,0.0,0.0038,0.0,0.0165,0.0154,0.0629,0.0,0.0,0.0114,0.0,0.0267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0405,0.0,0.0048,0.0,0.0,0.0099,0.0,0.0098,0.0,0.0
5125,0.0021,0.0,0.025,0.0,0.0,0.0,0.0,0.1028,0.0137,0.0247,0.0,0.0153,0.0472,0.0035,0.0,0.0191,0.0,0.0392,0.0,0.0,0.0004,0.0221,0.0331,0.02,0.0,0.0192,0.0,0.0231,0.0,0.0,0.0,0.0,0.0,0.0117,0.0,0.0,0.0,0.059000000000000004,0.0,0.004,0.0272,0.0,0.0664,0.0,0.0124,0.0411,0.026000000000000002,0.018000000000000002,0.02,0.0,0.0,0.0154,0.0049,0.0269,0.0,0.0437,0.0755,0.0,0.0,0.0137,0.0232,0.0,0.0166,0.0,0.0,0.0154,0.0,0.0,0.0082,0.0225,0.0053,0.0,0.0021,0.0229,0.0123,0.0022,0.0027,0.0,0.0,0.0893,0.0331,0.0107,0.0386,0.0,0.0224,0.0099,0.0322,0.0,0.0163,1.0,0.0085,0.0,0.0,0.0645,0.0,0.0,0.0342,0.0,0.0131,0.0423,0.0,0.0708,0.0129,0.0,0.0,0.0,0.0745,0.0064,0.0,0.0,0.0,0.0278,0.0,0.0,0.0966,0.0225,0.0564,0.0264,0.0295,0.0,0.003,0.0234,0.0156,0.0067,0.0,0.0661,0.0342,0.0033,0.008,0.0,0.0,0.0,0.0415,0.0,0.0076,0.0619,0.0,0.003,0.0,0.0669,0.0,0.0
6304,0.0606,0.0391,0.0588,0.0091,0.0083,0.0,0.0439,0.0089,0.0,0.0,0.0097,0.0308,0.0382,0.0,0.0,0.0002,0.0,0.0195,0.0334,0.0167,0.0784,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0242,0.0036,0.0,0.008,0.0098,0.0194,0.0548,0.0,0.084,0.0167,0.0086,0.0245,0.0131,0.0,0.0227,0.0,0.0,0.0108,0.0086,0.0,0.0,0.0291,0.0,0.0044,0.0186,0.0376,0.0,0.0,0.0268,0.0,0.0,0.0636,0.0,0.0024,0.0,0.0,0.0,0.0432,0.0,0.0025,0.0,0.0004,0.0,0.0,0.0,0.0248,0.0,0.0205,0.0282,0.0,0.0,0.0083,0.0,0.0,0.0117,0.0303,0.0,0.0,0.0085,1.0,0.2099,0.0,0.0,0.0155,0.0,0.0862,0.0089,0.1213,0.0,0.0,0.0098,0.0292,0.0,0.0,0.0,0.0221,0.0088,0.0,0.0,0.0,0.0226,0.0406,0.1253,0.0395,0.0,0.0,0.0374,0.0047,0.1125,0.0,0.0753,0.0,0.0288,0.0,0.0,0.0,0.0175,0.0,0.0917,0.0012,0.0,0.0,0.0,0.0,0.0551,0.0207,0.0,0.0,0.0052,0.0,0.0199
6565,0.0333,0.0,0.0132,0.0,0.0,0.0,0.0243,0.0053,0.0,0.0095,0.0041,0.0412,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0077,0.0335,0.0,0.0329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,0.0,0.0222,0.0,0.0086,0.0,0.0,0.0444,0.0,0.0835,0.0204,0.0,0.0269,0.0,0.0,0.0,0.0,0.0049,0.0,0.0275,0.0076,0.0,0.0,0.0,0.0,0.0172,0.0386,0.0,0.0019,0.0,0.0,0.0,0.043,0.0,0.0109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083,0.0441,0.0061,0.0,0.0008,0.0,0.0,0.0192,0.0,0.01,0.0,0.0,0.2099,1.0,0.0,0.0024,0.0104,0.0,0.0453,0.0,0.1238,0.0,0.0,0.0,0.004,0.0,0.0002,0.0235,0.0162,0.0237,0.0,0.0,0.0,0.0,0.0061,0.09699999999999999,0.0,0.0075,0.0015,0.0041,0.0,0.0866,0.0254,0.0617,0.0,0.0448,0.0,0.0,0.0,0.0069,0.0,0.0361,0.0032,0.0,0.0274,0.0119,0.0,0.0356,0.0,0.004,0.0,0.0067,0.0,0.0063
27914,0.0,0.03,0.0033,0.0603,0.0018,0.0351,0.023,0.0069,0.0,0.0,0.0145,0.0,0.0139,0.0146,0.0,0.0077,0.004,0.0008,0.0359,0.0,0.0,0.0139,0.0,0.0,0.006999999999999999,0.0,0.0,0.0187,0.0,0.0,0.0,0.0664,0.0,0.0666,0.0,0.0,0.0999,0.0,0.0055,0.0,0.0,0.0253,0.0,0.0349,0.0,0.0959,0.0303,0.0,0.0197,0.0027,0.0068,0.0336,0.0091,0.0052,0.0,0.0,0.0,0.0059,0.0,0.0218,0.0,0.0,0.0,0.0,0.0137,0.0284,0.0,0.0024,0.0,0.0149,0.0,0.0,0.0,0.0384,0.0,0.0195,0.0637,0.0,0.0,0.0,0.0,0.0226,0.0,0.0,0.0,0.0227,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0893,0.0,0.0283,0.0596,0.0,0.0,0.0059,0.0,0.0,0.0,0.0513,0.0,0.0,0.0,0.1006,0.0055,0.0,0.0605,0.0572,0.0,0.0,0.0493,0.0,0.0,0.0031,0.0,0.0,0.0123,0.0,0.0,0.2524,0.0325,0.0686,0.0254,0.0268,0.0,0.0331,0.0062,0.0,0.0724,0.0274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10867,0.0,0.0,0.0,0.0,0.0138,0.0342,0.0,0.0,0.0789,0.0376,0.0246,0.0286,0.0665,0.0,0.0,0.2114,0.0198,0.0,0.0,0.0033,0.0,0.1,0.0,0.012,0.0103,0.0,0.0107,0.0371,0.0,0.0,0.0561,0.0061,0.0335,0.0,0.0332,0.0325,0.0015,0.0321,0.0,0.0,0.0699,0.0409,0.0459,0.0,0.0614,0.0051,0.0734,0.0314,0.0643,0.0748,0.069,0.0901,0.0426,0.1054,0.0,0.0332,0.0411,0.0,0.0,0.0,0.0944,0.0475,0.0821,0.0,0.0463,0.0375,0.0,0.0,0.0421,0.0129,0.0,0.0,0.0016,0.0877,0.0847,0.0746,0.0083,0.0185,0.011000000000000001,0.0325,0.0967,0.0,0.0291,0.0,0.0,0.015,0.0204,0.0,0.0266,0.0645,0.0,0.0024,0.0,1.0,0.0,0.0,0.015,0.0,0.0029,0.0111,0.0,0.0174,0.0053,0.0,0.0258,0.0,0.0164,0.0265,0.0,0.0,0.0,0.035,0.0153,0.0,0.0189,0.0,0.0457,0.0,0.0,0.0005,0.0,0.0357,0.2594,0.0111,0.0,0.2359,0.0171,0.0647,0.0008,0.0,0.011000000000000001,0.0,0.0354,0.0,0.0,0.0208,0.0,0.0865,0.0,0.0061,0.08,0.0
6742,0.0,0.0975,0.0899,0.0058,0.0,0.0574,0.038,0.0,0.0,0.0,0.1205,0.0,0.034,0.0962,0.0,0.0,0.0,0.0026,0.015,0.0,0.0,0.0,0.0028,0.0,0.0,0.0,0.0,0.0336,0.0,0.0,0.0,0.0414,0.0,0.0,0.0,0.0064,0.0821,0.0,0.0,0.0,0.0,0.0089,0.0,0.0055,0.0,0.1683,0.0112,0.0,0.0745,0.0561,0.0813,0.0276,0.0,0.0,0.0,0.0221,0.0,0.0,0.0,0.0,0.0,0.0187,0.0,0.0,0.005,0.0019,0.0,0.1132,0.0137,0.0,0.0,0.0696,0.0,0.0,0.0,0.0035,0.0308,0.0,0.0,0.0,0.0,0.1086,0.0,0.0,0.0,0.0243,0.0,0.0684,0.0,0.0,0.0155,0.0104,0.0893,0.0,1.0,0.0018,0.0288,0.0236,0.0,0.0,0.0638,0.0,0.0,0.0,0.0174,0.0,0.0,0.0,0.1691,0.0228,0.0162,0.0372,0.1183,0.0,0.0,0.159,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0172,0.1702,0.0,0.1222,0.0473,0.1389,0.0,0.1965,0.0,0.0087,0.2345,0.0,0.0,0.0,0.0136,0.0768,0.0,0.0,0.0583
2019,0.0,0.1095,0.0499,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0857,0.0,0.0,0.105,0.0023,0.0,0.0,0.0109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0122,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.021,0.0,0.0326,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0159,0.0,0.0,0.0,0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1134,0.0,0.0,0.0,0.0612,0.0004,0.0,0.0005,0.0,0.0364,0.0,0.0,0.0,0.0,0.0831,0.0,0.0,0.0,0.0,0.0,0.0628,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,1.0,0.0,0.0,0.0,0.0,0.0025,0.0046,0.0,0.0,0.0013,0.0,0.0,0.0,0.0392,0.1578,0.028999999999999998,0.0,0.0,0.0,0.0238,0.1102,0.0678,0.0236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1245,0.0,0.065,0.1249,0.0,0.0047,0.0128,0.0054,0.0,0.0,0.0752,0.0,0.0,0.0
3735,0.0061,0.0,0.0322,0.0262,0.0054,0.0029,0.0615,0.0,0.018000000000000002,0.0305,0.0,0.0758,0.1102,0.0,0.0,0.0189,0.0127,0.0089,0.0626,0.0058,0.034,0.0,0.0387,0.0,0.0,0.0,0.0209,0.0072,0.0,0.0,0.024,0.0548,0.0594,0.0912,0.015,0.0,0.0622,0.1186,0.0259,0.0533,0.0509,0.0,0.0929,0.0535,0.0,0.0,0.0051,0.0253,0.0239,0.0247,0.0236,0.0075,0.0193,0.0,0.0,0.0463,0.1071,0.0,0.0,0.0627,0.0089,0.0034,0.002,0.0,0.0,0.0,0.0,0.006999999999999999,0.0154,0.0,0.0112,0.0,0.0,0.0084,0.0,0.0,0.0553,0.0,0.0141,0.1092,0.0,0.0,0.0533,0.0,0.0,0.0818,0.0345,0.0035,0.0,0.0342,0.0862,0.0453,0.0283,0.015,0.0288,0.0,1.0,0.0466,0.0731,0.0,0.0161,0.0155,0.0106,0.0101,0.0035,0.0,0.0355,0.0195,0.0,0.0,0.0,0.0265,0.0,0.0403,0.0634,0.0,0.009000000000000001,0.0338,0.0014,0.0367,0.1043,0.1804,0.0,0.0398,0.0169,0.001,0.0,0.0134,0.0,0.0179,0.0,0.0,0.0606,0.0,0.0,0.0994,0.0929,0.0044,0.0,0.0,0.0066,0.0254
6730,0.0038,0.0124,0.0007,0.0687,0.0145,0.0,0.036000000000000004,0.0,0.0,0.0,0.0098,0.0,0.0564,0.0014,0.0,0.0,0.0219,0.0231,0.2209,0.0,0.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0168,0.03,0.3133,0.004,0.1303,0.0,0.0054,0.2123,0.0,0.1003,0.0206,0.0021,0.0003,0.0377,0.2096,0.0,0.0028,0.0,0.0,0.0225,0.0276,0.0286,0.0245,0.0,0.0068,0.0062,0.0016,0.0,0.0044,0.0308,0.0946,0.0,0.0052,0.0025,0.0,0.0,0.0,0.0,0.0136,0.0,0.0,0.0,0.0,0.0137,0.0,0.0,0.0066,0.0984,0.0,0.0,0.0,0.0,0.0463,0.0,0.0,0.0,0.0701,0.0,0.0157,0.0,0.0,0.0089,0.0,0.0596,0.0,0.0236,0.0,0.0466,1.0,0.0,0.0065,0.0108,0.0,0.0142,0.0021,0.0061,0.0002,0.0,0.0,0.0159,0.0,0.0,0.0295,0.0731,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0699,0.0558,0.0,0.0377,0.078,0.0,0.0146,0.0,0.03,0.0,0.0269,0.0,0.035,0.037000000000000005,0.0,0.0076,0.0767,0.0005,0.0,0.0,0.0037,0.0
10453,0.0662,0.0,0.0116,0.0073,0.0,0.0,0.0,0.0,0.0,0.0167,0.0,0.0913,0.0584,0.0,0.0,0.0043,0.0,0.0039,0.0,0.0107,0.0,0.0,0.1936,0.0,0.0,0.0,0.0,0.0018,0.0,0.0,0.0099,0.0,0.0437,0.0029,0.0,0.0,0.0,0.0,0.0,0.08199999999999999,0.0292,0.0,0.0545,0.0,0.0,0.0,0.0,0.0431,0.0044,0.009000000000000001,0.0,0.0,0.0416,0.0,0.0,0.0,0.0583,0.0,0.0,0.0,0.0,0.0,0.0111,0.0,0.0037,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0635,0.0071,0.0,0.0447,0.0,0.0,0.0339,0.0,0.0,0.0,0.0131,0.1213,0.1238,0.0,0.0029,0.0,0.0,0.0731,0.0,1.0,0.0,0.0,0.0,0.0018,0.0087,0.0189,0.0,0.004,0.0369,0.0,0.0,0.0,0.0225,0.0,0.1723,0.024,0.0,0.0,0.0184,0.0079,0.1421,0.0,0.0527,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0175,0.0076,0.0,0.0,0.0491,0.0054,0.0
10247,0.0,0.0,0.0,0.0,0.0497,0.0,0.0049,0.0,0.0106,0.0,0.0,0.0,0.0066,0.0,0.0,0.0,0.0667,0.0058,0.0,0.0,0.0,0.0016,0.0,0.0333,0.1181,0.032,0.0129,0.0058,0.0,0.0221,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.006999999999999999,0.0074,0.0,0.0,0.0,0.0215,0.0,0.0114,0.0,0.0,0.0,0.0,0.0,0.0,0.0066,0.0,0.0,0.0,0.0,0.0194,0.0,0.037000000000000005,0.0373,0.0241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0462,0.015,0.0176,0.0,0.0,0.0289,0.0,0.011000000000000001,0.0216,0.0,0.0321,0.0423,0.0,0.0,0.0,0.0111,0.0,0.0,0.0,0.0065,0.0,1.0,0.0007,0.0154,0.0036,0.0,0.0078,0.066,0.0154,0.0,0.0,0.0122,0.0,0.0031,0.0069,0.0,0.0169,0.0008,0.0243,0.0,0.0276,0.0,0.0,0.0025,0.0084,0.0,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0935,0.0,0.0,0.0072,0.0053,0.0,0.0,0.0243,0.0,0.0
4423,0.0239,0.0192,0.0746,0.0335,0.0306,0.0032,0.0,0.0211,0.0,0.0,0.0864,0.0,0.0176,0.0575,0.0,0.0,0.0065,0.0344,0.0244,0.0,0.0,0.0,0.0104,0.0,0.0,0.0,0.0,0.0023,0.0,0.0,0.0,0.0221,0.0,0.0,0.0133,0.0133,0.0357,0.0,0.0,0.0,0.0,0.0,0.006999999999999999,0.0025,0.0046,0.0658,0.0,0.0087,0.0,0.0069,0.0008,0.0,0.0,0.0,0.0092,0.0559,0.0,0.0,0.0,0.0,0.0,0.0335,0.0,0.0,0.0,0.0,0.0,0.0534,0.0,0.0,0.0,0.0387,0.0382,0.0,0.0,0.0049,0.0253,0.0,0.0089,0.0,0.0,0.0465,0.0,0.0,0.0,0.0224,0.0,0.0744,0.0,0.0,0.0,0.0,0.0059,0.0,0.0638,0.0025,0.0161,0.0108,0.0,0.0007,1.0,0.0,0.0114,0.0039,0.0064,0.0003,0.0,0.0,0.0842,0.0013,0.0,0.0073,0.1298,0.0,0.0264,0.0657,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0951,0.0,0.0319,0.0,0.0676,0.0,0.0802,0.0784,0.0082,0.0644,0.0,0.0,0.0,0.0172,0.0355,0.0037,0.0033,0.0651
5256,0.0091,0.0,0.0081,0.0,0.0085,0.0,0.006999999999999999,0.0665,0.006,0.0138,0.0,0.0098,0.0118,0.0023,0.0,0.0,0.0041,0.037000000000000005,0.0,0.0,0.0,0.0,0.0203,0.0073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0204,0.0,0.0,0.0,0.0032,0.0042,0.0,0.015,0.0,0.0,0.0,0.0205,0.0,0.0,0.0038,0.0,0.0017,0.0007,0.0014,0.017,0.0373,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0124,0.0204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0204,0.0,0.0044,0.0067,0.0,0.0034,0.0133,0.0261,0.0,0.0,0.0,0.0188,0.0708,0.0098,0.0,0.0,0.0174,0.0,0.0046,0.0155,0.0,0.0,0.0154,0.0,1.0,0.0152,0.0009,0.0,0.0,0.0,0.0049,0.0,0.0286,0.0,0.0,0.0,0.0,0.0798,0.0,0.0278,0.0,0.0,0.0,0.0079,0.0074,0.0,0.0,0.0,0.002,0.0015,0.006999999999999999,0.0,0.0,0.0,0.0,0.0079,0.0,0.0,0.0092,0.0,0.0,0.0,0.0222,0.0,0.0
5518,0.0349,0.0152,0.0081,0.0,0.0319,0.0,0.0233,0.0,0.0,0.0,0.0,0.0096,0.0,0.0,0.0,0.01,0.0207,0.0736,0.0163,0.0,0.0553,0.0,0.0038,0.0178,0.0166,0.035,0.04,0.0,0.0,0.0005,0.0,0.0188,0.0145,0.0103,0.0,0.0,0.0209,0.0,0.0,0.0,0.0,0.0099,0.0105,0.0145,0.0,0.0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0233,0.0011,0.0033,0.1181,0.0332,0.0,0.0,0.0,0.0,0.0,0.0127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0351,0.0,0.016,0.0,0.0,0.0,0.0064,0.0185,0.0333,0.0029,0.0,0.0,0.0383,0.0129,0.0292,0.004,0.0,0.0053,0.0,0.0,0.0106,0.0142,0.0018,0.0036,0.0114,0.0152,1.0,0.037000000000000005,0.0017,0.006,0.0003,0.0131,0.0,0.0,0.0,0.0121,0.0203,0.0033,0.0284,0.0,0.0,0.0109,0.0215,0.0148,0.0,0.0185,0.0,0.0041,0.0,0.0,0.0,0.0,0.0,0.0078,0.0,0.0,0.0111,0.0,0.0,0.0,0.0,0.0,0.0,0.0323,0.002,0.0
6136,0.0581,0.0156,0.0153,0.0305,0.0064,0.0,0.0,0.0,0.0,0.0,0.0,0.0371,0.0,0.0,0.0,0.0,0.0158,0.0641,0.0015,0.0195,0.022000000000000002,0.0002,0.0355,0.0202,0.0,0.0,0.0184,0.0,0.0,0.008,0.032,0.0125,0.0,0.0,0.0,0.0134,0.0345,0.0,0.0231,0.0067,0.0069,0.0,0.0,0.0191,0.0,0.0257,0.0,0.0,0.0,0.0044,0.0,0.0,0.0,0.0,0.0247,0.0035,0.0065,0.0112,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0251,0.0,0.0,0.0,0.0114,0.0,0.0395,0.0,0.0022,0.0,0.0018,0.0,0.0038,0.0,0.0,0.0674,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0101,0.0021,0.0087,0.0,0.0039,0.0009,0.037000000000000005,1.0,0.0,0.0,0.0,0.024,0.0013,0.0001,0.0,0.0,0.0247,0.0601,0.0114,0.0073,0.0,0.0,0.0335,0.0105,0.0,0.0,0.0,0.0,0.0259,0.0,0.0,0.0,0.0,0.0064,0.0358,0.0209,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.0488,0.0252
8823,0.0,0.0,0.0259,0.0,0.0,0.032,0.0,0.0264,0.0,0.0,0.0061,0.0,0.0,0.0201,0.0,0.0449,0.0,0.0139,0.0,0.0,0.0,0.0493,0.0,0.0,0.0,0.0,0.0013,0.0261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285,0.0,0.0,0.0,0.067,0.0331,0.0135,0.0461,0.0,0.0109,0.0391,0.0161,0.0138,0.0,0.0,0.0042,0.0043,0.0,0.0,0.0195,0.0145,0.0,0.0,0.0128,0.0277,0.0347,0.0255,0.0024,0.0,0.0,0.0491,0.0128,0.0443,0.036000000000000004,0.0035,0.0,0.0,0.0,0.0,0.0,0.0102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0513,0.0258,0.0174,0.0013,0.0035,0.0061,0.0189,0.0078,0.0064,0.0,0.0017,0.0,1.0,0.0,0.0,0.0476,0.0134,0.0254,0.0,0.0152,0.0033,0.0,0.0,0.0731,0.0,0.0206,0.0,0.0038,0.0,0.0,0.0268,0.0,0.024,0.0541,0.0039,0.0313,0.023,0.0,0.0148,0.0144,0.0,0.0082,0.1009,0.0,0.0,0.0,0.0302,0.0,0.0,0.0128
3362,0.0151,0.0,0.0,0.0018,0.0078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357,0.0383,0.0984,0.0458,0.0,0.0092,0.0,0.0374,0.0091,0.0,0.0586,0.0184,0.0967,0.0,0.0,0.0689,0.0,0.0,0.0,0.0,0.0114,0.0294,0.0,0.0,0.0,0.0186,0.0,0.0,0.0,0.0,0.0047,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0219,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0151,0.0,0.0035,0.0,0.0,0.0,0.0007,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0746,0.0,0.0,0.0,0.0,0.0604,0.009000000000000001,0.0,0.0,0.005,0.0103,0.0,0.0,0.0235,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.066,0.0003,0.0,0.006,0.0,0.0,1.0,0.0235,0.0077,0.0023,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0168,0.0525,0.0,0.0,0.0183,0.0,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0021,0.0155,0.0293,0.0145,0.0,0.0102,0.0,0.0323,0.0,0.0,0.022000000000000002,0.0
5878,0.001,0.0,0.0,0.0304,0.0,0.0,0.0,0.0024,0.0,0.028999999999999998,0.0,0.002,0.0474,0.0,0.0,0.0581,0.0,0.0,0.0,0.0201,0.0,0.0053,0.0404,0.0014,0.0,0.0006,0.0,0.0,0.0,0.0,0.0132,0.0,0.0,0.0058,0.0,0.0308,0.0,0.0613,0.0,0.0234,0.0586,0.0,0.0863,0.0,0.0251,0.0,0.0031,0.0295,0.0,0.0168,0.0,0.0,0.0,0.0041,0.0315,0.0,0.0894,0.0,0.0107,0.0,0.0018,0.0065,0.0401,0.0,0.0,0.0,0.0303,0.0,0.0262,0.0,0.0149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.0736,0.0,0.0,0.0779,0.0056,0.0205,0.0205,0.0711,0.0235,0.0092,0.0745,0.0221,0.0162,0.0,0.0164,0.0,0.0,0.0355,0.0,0.004,0.0154,0.0,0.0,0.0003,0.0,0.0,0.0235,1.0,0.0014,0.0,0.0,0.0,0.0017,0.0,0.0,0.0118,0.0,0.0,0.0323,0.0335,0.0,0.0082,0.0438,0.0082,0.0599,0.0,0.0088,0.0,0.0,0.0,0.0,0.0027,0.0,0.0468,0.0,0.0,0.0594,0.0,0.0179,0.0,0.0363,0.0089,0.0
